epoch,accuracy,loss,val_accuracy,val_loss
0,0.8462499976158142,0.48339584469795227,0.7260000109672546,3.297865867614746
1,0.9169999957084656,0.21844160556793213,0.7720000147819519,0.8618183732032776
2,0.9357500076293945,0.16232426464557648,0.9380000233650208,0.1639118790626526
3,0.950124979019165,0.12453494220972061,0.9330000281333923,0.15879015624523163
4,0.956250011920929,0.10448229312896729,0.9539999961853027,0.13677632808685303
5,0.9648749828338623,0.0849074125289917,0.9390000104904175,0.15842609107494354
6,0.9716249704360962,0.06686682999134064,0.9589999914169312,0.11728039383888245
7,0.9742500185966492,0.05836451053619385,0.949999988079071,0.14694415032863617
8,0.9773749709129333,0.0590854212641716,0.9570000171661377,0.14166997373104095
9,0.9808750152587891,0.04633568972349167,0.9419999718666077,0.17034968733787537
10,0.984749972820282,0.04087666794657707,0.9549999833106995,0.14762404561042786
